Time,Quadrant Number,Ball Colour,Type
28.725102764687403,"(1509, 276, 2)",Blue,Exit
28.725102764687403,2,Blue,Entry
28.725102764687403,"(1106, 241, 2)",Yellow,Exit
28.725102764687403,2,Yellow,Entry
28.725102764687403,"(1806, 121, 2)",White,Exit
28.725102764687403,2,White,Entry
28.725102764687403,"(1028, 836, 4)",Peach,Exit
28.725102764687403,4,Peach,Entry
28.75838793590952,"(1330, 3, 2)",Red,Exit
28.75838793590952,2,Red,Entry
28.75838793590952,"(1509, 276, 2)",Blue,Exit
28.75838793590952,2,Blue,Entry
28.75838793590952,"(1106, 241, 2)",Yellow,Exit
28.75838793590952,2,Yellow,Entry
28.75838793590952,"(1802, 121, 2)",White,Exit
28.75838793590952,2,White,Entry
28.75838793590952,"(1027, 833, 4)",Peach,Exit
28.75838793590952,4,Peach,Entry
28.79167310713164,"(1322, 2, 2)",Red,Exit
28.79167310713164,2,Red,Entry
28.79167310713164,"(1509, 276, 2)",Blue,Exit
28.79167310713164,2,Blue,Entry
28.79167310713164,"(1107, 241, 2)",Yellow,Exit
28.79167310713164,2,Yellow,Entry
28.79167310713164,"(1847, 211, 2)",White,Exit
28.79167310713164,2,White,Entry
28.79167310713164,"(1024, 830, 4)",Peach,Exit
28.79167310713164,4,Peach,Entry
28.824958278353755,"(1329, 2, 2)",Red,Exit
28.824958278353755,1,Red,Entry
28.824958278353755,"(1509, 277, 2)",Blue,Exit
28.824958278353755,2,Blue,Entry
28.824958278353755,"(1106, 241, 2)",Yellow,Exit
28.824958278353755,2,Yellow,Entry
28.824958278353755,"(1847, 207, 2)",White,Exit
28.824958278353755,2,White,Entry
28.824958278353755,"(1020, 829, 4)",Peach,Exit
28.824958278353755,4,Peach,Entry
28.858243449575873,"(769, 7, 1)",Red,Exit
28.858243449575873,2,Red,Entry
28.858243449575873,"(1509, 277, 2)",Blue,Exit
28.858243449575873,2,Blue,Entry
28.858243449575873,"(1106, 241, 2)",Yellow,Exit
28.858243449575873,2,Yellow,Entry
28.858243449575873,"(1805, 118, 2)",White,Exit
28.858243449575873,2,White,Entry
28.858243449575873,"(1018, 824, 4)",Peach,Exit
28.858243449575873,4,Peach,Entry
28.891528620797992,"(1316, 2, 2)",Red,Exit
28.891528620797992,2,Red,Entry
28.891528620797992,"(1509, 277, 2)",Blue,Exit
28.891528620797992,2,Blue,Entry
28.891528620797992,"(1107, 242, 2)",Yellow,Exit
28.891528620797992,2,Yellow,Entry
28.891528620797992,"(1848, 207, 2)",White,Exit
28.891528620797992,2,White,Entry
28.891528620797992,"(1014, 821, 4)",Peach,Exit
28.891528620797992,4,Peach,Entry
28.924813792020107,"(1717, 10, 2)",Red,Exit
28.924813792020107,2,Red,Entry
28.924813792020107,"(1509, 277, 2)",Blue,Exit
28.924813792020107,2,Blue,Entry
28.924813792020107,"(1107, 241, 2)",Yellow,Exit
28.924813792020107,2,Yellow,Entry
28.924813792020107,"(1800, 118, 2)",White,Exit
28.924813792020107,2,White,Entry
28.924813792020107,"(1011, 818, 4)",Peach,Exit
28.924813792020107,4,Peach,Entry
28.958098963242225,"(1335, 2, 2)",Red,Exit
28.958098963242225,2,Red,Entry
28.958098963242225,"(1509, 277, 2)",Blue,Exit
28.958098963242225,2,Blue,Entry
28.958098963242225,"(1107, 241, 2)",Yellow,Exit
28.958098963242225,2,Yellow,Entry
28.958098963242225,"(1800, 117, 2)",White,Exit
28.958098963242225,2,White,Entry
28.958098963242225,"(1010, 814, 4)",Peach,Exit
28.958098963242225,1,Peach,Entry
28.991384134464344,"(1360, 4, 2)",Red,Exit
28.991384134464344,2,Red,Entry
28.991384134464344,"(1509, 277, 2)",Blue,Exit
28.991384134464344,2,Blue,Entry
28.991384134464344,"(1107, 241, 2)",Yellow,Exit
28.991384134464344,2,Yellow,Entry
28.991384134464344,"(1806, 114, 2)",White,Exit
28.991384134464344,2,White,Entry
28.991384134464344,"(757, 276, 1)",Peach,Exit
28.991384134464344,1,Peach,Entry
29.024669305686462,"(1522, 17, 2)",Red,Exit
29.024669305686462,2,Red,Entry
29.024669305686462,"(1509, 277, 2)",Blue,Exit
29.024669305686462,2,Blue,Entry
29.024669305686462,"(1107, 241, 2)",Yellow,Exit
29.024669305686462,2,Yellow,Entry
29.024669305686462,"(1805, 116, 2)",White,Exit
29.024669305686462,2,White,Entry
29.024669305686462,"(757, 276, 1)",Peach,Exit
29.024669305686462,1,Peach,Entry
29.057954476908577,"(1762, 14, 2)",Red,Exit
29.057954476908577,2,Red,Entry
29.057954476908577,"(1509, 277, 2)",Blue,Exit
29.057954476908577,2,Blue,Entry
29.057954476908577,"(1107, 241, 2)",Yellow,Exit
29.057954476908577,2,Yellow,Entry
29.057954476908577,"(1807, 117, 2)",White,Exit
29.057954476908577,2,White,Entry
29.057954476908577,"(757, 276, 1)",Peach,Exit
29.057954476908577,1,Peach,Entry
29.091239648130696,"(1760, 9, 2)",Red,Exit
29.091239648130696,1,Red,Entry
29.091239648130696,"(1509, 277, 2)",Blue,Exit
29.091239648130696,2,Blue,Entry
29.091239648130696,"(1107, 241, 2)",Yellow,Exit
29.091239648130696,2,Yellow,Entry
29.091239648130696,"(1824, 119, 2)",White,Exit
29.091239648130696,2,White,Entry
29.091239648130696,"(757, 276, 1)",Peach,Exit
29.091239648130696,1,Peach,Entry
29.124524819352814,"(795, 140, 1)",Red,Exit
29.124524819352814,1,Red,Entry
29.124524819352814,"(1509, 276, 2)",Blue,Exit
29.124524819352814,2,Blue,Entry
29.124524819352814,"(1106, 241, 2)",Yellow,Exit
29.124524819352814,2,Yellow,Entry
29.124524819352814,"(1805, 119, 2)",White,Exit
29.124524819352814,2,White,Entry
29.124524819352814,"(757, 276, 1)",Peach,Exit
29.124524819352814,1,Peach,Entry
29.157809990574933,"(765, 10, 1)",Red,Exit
29.157809990574933,1,Red,Entry
29.157809990574933,"(1509, 277, 2)",Blue,Exit
29.157809990574933,2,Blue,Entry
29.157809990574933,"(1106, 241, 2)",Yellow,Exit
29.157809990574933,2,Yellow,Entry
29.157809990574933,"(1805, 118, 2)",White,Exit
29.157809990574933,2,White,Entry
